Model,MDO34
Firmware Version,1.6.0

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.1
Horizontal Delay,0.431
Sample Interval,0.001
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,10
Vertical Units,A
Vertical Offset,0
Vertical Scale,5
Vertical Position,0.02
,
,
,
Label,UL12
TIME,CH1
6.33e-01,1.1
6.34e-01,0.9
6.35e-01,0.5
6.36e-01,0.9
6.37e-01,0.9
6.38e-01,0.5
6.39e-01,0.9
6.40e-01,1.1
6.41e-01,0.7
6.42e-01,0.7
6.43e-01,1.1
6.44e-01,0.9
6.45e-01,0.5
6.46e-01,1.1
6.47e-01,0.9
6.48e-01,0.5
6.49e-01,0.9
6.50e-01,0.9
6.51e-01,0.5
6.52e-01,0.5
6.53e-01,0.9
6.54e-01,0.5
6.55e-01,0.3
6.56e-01,0.7
6.57e-01,0.9
6.58e-01,0.3
6.59e-01,0.9
6.60e-01,1.1
6.61e-01,0.5
6.62e-01,0.7
6.63e-01,0.9
6.64e-01,0.9
6.65e-01,0.5
6.66e-01,1.1
6.67e-01,1.1
6.68e-01,0.5
6.69e-01,0.9
6.70e-01,1.1
6.71e-01,0.5
6.72e-01,0.7
6.73e-01,1.1
6.74e-01,0.7
6.75e-01,0.5
6.76e-01,1.1
6.77e-01,0.9
6.78e-01,0.5
6.79e-01,0.7
6.80e-01,0.9
6.81e-01,0.5
6.82e-01,0.5
6.83e-01,0.7
6.84e-01,0.7
6.85e-01,0.1
6.86e-01,0.7
6.87e-01,0.7
6.88e-01,0.3
6.89e-01,0.5
6.90e-01,0.9
6.91e-01,0.3
6.92e-01,0.3
6.93e-01,0.9
6.94e-01,0.7
6.95e-01,0.3
6.96e-01,0.9
6.97e-01,1.1
6.98e-01,0.5
6.99e-01,0.9
7.00e-01,1.1
7.01e-01,0.9
7.02e-01,0.9
7.03e-01,1.3
7.04e-01,1.1
7.05e-01,1.5
7.06e-01,2.1
7.07e-01,2.3
7.08e-01,1.5
7.09e-01,2.1
7.10e-01,2.3
7.11e-01,1.7
7.12e-01,1.5
7.13e-01,2.1
7.14e-01,1.5
7.15e-01,1.1
7.16e-01,0.9
7.17e-01,1.1
7.18e-01,0.7
7.19e-01,0.1
7.20e-01,0.5
7.21e-01,0.3
7.22e-01,0.3
7.23e-01,0.5
7.24e-01,0.5
7.25e-01,0.1
7.26e-01,0.5
7.27e-01,0.5
7.28e-01,-0.1
7.29e-01,0.5
7.30e-01,0.7
7.31e-01,0.5
7.32e-01,0.3
7.33e-01,0.7
7.34e-01,0.5
7.35e-01,0.3
7.36e-01,0.7
7.37e-01,0.7
7.38e-01,0.1
7.39e-01,0.5
7.40e-01,0.7
7.41e-01,0.3
7.42e-01,0.3
7.43e-01,0.7
7.44e-01,0.5
7.45e-01,-0.1
7.46e-01,0.7
7.47e-01,0.7
7.48e-01,0.3
7.49e-01,0.3
7.50e-01,0.9
7.51e-01,0.3
7.52e-01,0.5
7.53e-01,0.7
7.54e-01,0.5
7.55e-01,0.1
7.56e-01,0.7
7.57e-01,0.7
7.58e-01,0.3
7.59e-01,0.7
7.60e-01,0.9
7.61e-01,0.3
7.62e-01,0.3
7.63e-01,0.7
7.64e-01,0.5
7.65e-01,-0.1
7.66e-01,0.5
7.67e-01,0.5
7.68e-01,0.1
7.69e-01,0.5
7.70e-01,0.7
7.71e-01,0.5
7.72e-01,0.3
7.73e-01,0.7
7.74e-01,0.5
7.75e-01,0.1
7.76e-01,0.5
7.77e-01,0.7
7.78e-01,-0.1
7.79e-01,0.5
7.80e-01,0.7
7.81e-01,0.5
7.82e-01,0.3
7.83e-01,0.7
7.84e-01,0.5
7.85e-01,-0.1
7.86e-01,0.7
7.87e-01,0.7
7.88e-01,0.3
7.89e-01,0.7
7.90e-01,0.5
7.91e-01,0.3
7.92e-01,0.5
7.93e-01,0.5
7.94e-01,0.7
7.95e-01,-0.1
7.96e-01,0.7
7.97e-01,0.7
7.98e-01,0.5
7.99e-01,0.7
8.00e-01,0.7
8.01e-01,0.5
8.02e-01,0.3
8.03e-01,0.9
8.04e-01,0.7
8.05e-01,0.1
8.06e-01,0.7
8.07e-01,0.9
8.08e-01,0.5
8.09e-01,0.7
8.10e-01,0.9
8.11e-01,0.7
8.12e-01,0.3
8.13e-01,0.7
8.14e-01,0.7
8.15e-01,-0.1
8.16e-01,0.5
8.17e-01,0.5
8.18e-01,0.3
8.19e-01,0.5
8.20e-01,0.7
8.21e-01,0.3
8.22e-01,0.3
8.23e-01,0.5
8.24e-01,0.5
8.25e-01,-0.1
8.26e-01,0.7
8.27e-01,0.7
8.28e-01,0.3
8.29e-01,0.5
8.30e-01,0.7
8.31e-01,0.3
8.32e-01,0.3
8.33e-01,0.7
8.34e-01,0.5
8.35e-01,0.1
8.36e-01,0.7
8.37e-01,0.7
8.38e-01,0.3
8.39e-01,0.5
8.40e-01,0.9
8.41e-01,0.5
8.42e-01,0.3
8.43e-01,0.7
8.44e-01,0.9
8.45e-01,-0.1
8.46e-01,0.9
8.47e-01,0.9
8.48e-01,0.5
8.49e-01,0.7
8.50e-01,0.9
8.51e-01,0.7
8.52e-01,0.5
8.53e-01,0.9
8.54e-01,0.7
8.55e-01,0.3
8.56e-01,0.7
8.57e-01,0.7
8.58e-01,0.5
8.59e-01,0.5
8.60e-01,0.7
8.61e-01,0.3
8.62e-01,0.3
8.63e-01,0.5
8.64e-01,0.5
8.65e-01,0.1
8.66e-01,0.5
8.67e-01,0.5
8.68e-01,0.3
8.69e-01,0.5
8.70e-01,0.7
8.71e-01,0.5
8.72e-01,0.3
8.73e-01,0.7
8.74e-01,0.5
8.75e-01,-0.1
8.76e-01,0.7
8.77e-01,0.9
8.78e-01,0.5
8.79e-01,0.7
8.80e-01,0.9
8.81e-01,0.5
8.82e-01,0.3
8.83e-01,0.7
8.84e-01,0.5
8.85e-01,0.1
8.86e-01,0.7
8.87e-01,0.9
8.88e-01,0.5
8.89e-01,0.7
8.90e-01,0.9
8.91e-01,0.5
8.92e-01,0.3
8.93e-01,0.7
8.94e-01,0.7
8.95e-01,0.3
8.96e-01,0.7
8.97e-01,0.9
8.98e-01,0.3
8.99e-01,0.5
9.00e-01,0.9
9.01e-01,0.5
9.02e-01,0.3
9.03e-01,0.9
9.04e-01,0.5
9.05e-01,0.1
9.06e-01,0.9
9.07e-01,0.7
9.08e-01,0.3
9.09e-01,0.5
9.10e-01,0.7
9.11e-01,0.5
9.12e-01,0.5
9.13e-01,0.7
9.14e-01,0.7
9.15e-01,0.1
9.16e-01,0.5
9.17e-01,0.7
9.18e-01,0.3
9.19e-01,0.5
9.20e-01,0.7
9.21e-01,0.5
9.22e-01,0.5
9.23e-01,0.7
9.24e-01,0.7
9.25e-01,0.3
9.26e-01,0.7
9.27e-01,0.9
9.28e-01,0.3
9.29e-01,0.5
9.30e-01,0.9

